Rule ID,P(a1c1),P(a1c0),P(a0c1),P(a0c0)
0,0.9498312365756367,0.949144765352163,0.0501687634243633,0.05085523464783706
1,0.9520757654385055,0.9490085723963626,0.04792423456149455,0.0509914276036374
2,0.9492675126379861,0.9503118395958972,0.05073248736201382,0.04968816040410288
3,0.9510282013571741,0.950664529141025,0.04897179864282581,0.04933547085897502
4,0.9483776942548132,0.9497972129783694,0.051622305745186774,0.05020278702163061
5,0.9506329441611224,0.949164832319047,0.04936705583887753,0.050835167680952996
6,0.9497755986198666,0.9499433515295087,0.05022440138013334,0.050056648470491294
7,0.9509967209701764,0.9507014960080614,0.04900327902982356,0.04929850399193861
8,0.9510467901012026,0.9517169884670209,0.048953209898797416,0.048283011532979134
9,0.9503859448501703,0.9508985795380228,0.04961405514982977,0.04910142046197714
10,0.9488171710135954,0.9496150244511498,0.05118282898640456,0.050384975548850276
11,0.9509526895657809,0.9516365790219155,0.04904731043421905,0.04836342097808452
12,0.9490472352925885,0.9497092117561533,0.05095276470741155,0.05029078824384671
13,0.9501626545217957,0.9506930949604872,0.049837345478204294,0.04930690503951289
14,0.9486559559091146,0.9508082244924351,0.05134404409088546,0.04919177550756498
15,0.9481975002582378,0.9487676830372151,0.051802499741762216,0.0512323169627848
16,0.9493259788127948,0.9496506370735717,0.050674021187205195,0.050349362926428276
17,0.9497149049253076,0.9486605981794538,0.05028509507469233,0.051339401820546166
18,0.9500686297360993,0.9501161290322581,0.04993137026390076,0.04988387096774193
19,0.9509100794863165,0.9497457295605686,0.049089920513683556,0.050254270439431474
20,0.9505017417979514,0.9515963189553236,0.04949825820204856,0.048403681044676364
21,0.876128325196772,0.5749513560735416,0.12387167480322805,0.4250486439264583
22,0.7979876160990712,0.4994106941676055,0.2020123839009288,0.5005893058323945
23,0.8103730507452399,0.50316668100851906,0.18962694925476006,0.4968333189914809
24,0.7958340506111207,0.50642402024962905,0.20416594938887933,0.493575979750371
25,0.7958766399727382,0.49110194966932922,0.2041233600272619,0.5088980503306707
26,0.8010591953532075,0.50406056434962147,0.1989408046467925,0.4959394356503785
27,0.7998953701281716,0.49881075491209926,0.2001046298718284,0.5011892450879007
28,0.7985453315290933,0.50054040361394918,0.20145466847090662,0.4994595963860508
29,0.7955097087378641,0.50060111635895234,0.20449029126213591,0.4993988836410476
30,0.8016970725498515,0.49882637210907836,0.1983029274501485,0.5011736278909216
